"Package","Field"
"iscream","Single-cell"
"iSEE","Single-cell"
"iSEEde","Other"
"iSEEfier","Single-cell"
"iSEEhex","Other"
"iSEEhub","Single-cell"
"iSEEindex","Other"
"iSEEpathways","Genomics"
"iSEEtree","Microbiome"
"iSEEu","Single-cell"
"iSeq","Microarray"
"ISLET","Transcriptomics"
"islify","Other"
"isobar","Immunology"
"IsoBayes","Transcriptomics"
"IsoCorrectoR","Immunology"
"IsoCorrectoRGUI","Immunology"
"IsoformSwitchAnalyzeR","Immunology"
"ISoLDE","Immunology"
"isomiRs","Immunology"
"ITALICS","Microarray"
"iterativeBMA","Microarray"
"iterativeBMAsurv","Microarray"
"IVAS","Immunology"
"ivygapSE","Genomics"
"IWTomics","Genomics"
"jazzPanda","Transcriptomics"
"karyoploteR","Microarray"
"katdetectr","Genomics"
"KBoost","Transcriptomics"
"KCsmart","Microarray"
"kebabs","Other"
"KEGGgraph","Other"
"KEGGlincs","Genomics"
"keggorthology","Other"
"KEGGREST","Other"
"KinSwingR","Proteomics"
"kissDE","Transcriptomics"
"kmcut","Genomics"
"KnowSeq","Microarray"
"knowYourCG","Single-cell"
"koinar","Metabolomics"
"LACE","Single-cell"
"LBE","Other"
"ldblock","Other"
"LEA","Other"
"LedPred","Microarray"
"lefser","Microbiome"
"lemur","Single-cell"
"les","Microarray"
"levi","Genomics"
"lfa","Other"
"Lheuristic","Microarray"
"limma","Microarray"
"limmaGUI","Microarray"
"limpa","Metabolomics"
"limpca","Metabolomics"
"LimROTS","Microarray"
"lineagespot","Other"
"LinkHD","Other"
"linkSet","Single-cell"
"Linnorm","Single-cell"
"lionessR","Genomics"
"lipidr","Metabolomics"
"LipidTrend","Metabolomics"
"LiquidAssociation","Genomics"
"lisaClust","Single-cell"
"lmdme","Microarray"
"LOBSTAHS","Immunology"
"loci2path","Genomics"
"logicFS","Genomics"
"LOLA","Microarray"
"looking4clusters","Genomics"
"LoomExperiment","Single-cell"
"LPE","Microarray"
"lpNet","Other"
"lpsymphony","Other"
"LRBaseDbi","Other"
"LRcell","Single-cell"
"lumi","Microarray"
"LymphoSeq","Other"
"M3C","Immunology"
"M3Drop","Transcriptomics"
"m6Aboost","Genomics"
"Maaslin2","Microbiome"
"maaslin3","Microbiome"
"Macarron","Metabolomics"
"maCorrPlot","Microarray"
"MACSQuantifyR","Cytometrics"
"MACSr","Microarray"
"made4","Microarray"
"maftools","Genomics"
"MAGAR","Microarray"
"magpie","Transcriptomics"
"magrene","Other"
"MAI","Metabolomics"
"MAIT","Immunology"
"makecdfenv","Microarray"
"MANOR","Microarray"
"MantelCorr","Other"
"MAPFX","Single-cell"
"maPredictDSC","Microarray"
"mapscape","Other"
"mariner","Genomics"
"markeR","Transcriptomics"
"marr","Microarray"
"marray","Microarray"
"martini","Genomics"
"maser","Transcriptomics"
"maSigPro","Microarray"
"maskBAD","Microarray"
"MassArray","Immunology"
"massiR","Microarray"
"MassSpecWavelet","Immunology"
"MAST","Single-cell"
"mastR","Transcriptomics"
"matchBox","Microarray"
"MatrixGenerics","Other"
"MatrixQCvis","Transcriptomics"
"MatrixRider","Genomics"
"matter","Other"
"MBAmethyl","Microarray"
"MBASED","Genomics"
"MBCB","Microarray"
"MBECS","Microbiome"
"mbkmeans","Single-cell"
"mBPCR","Microarray"
"MBQN","Proteomics"
"mbQTL","Microbiome"
"MBttest","Transcriptomics"
"MCbiclust","Microarray"
"mCSEA","Microarray"
"mdp","Microarray"
"mdqc","Microarray"
"MDTS","Other"
"MEAL","Microarray"
"MeasurementError.cor","Other"
"MEAT","Microarray"
"MEB","Genomics"
"MEDIPS","Microarray"
"MEDME","Microarray"
"megadepth","Transcriptomics"
"MEIGOR","Other"
"memes","Genomics"
"Mergeomics","Other"
"MeSHDbi","Other"
"meshes","Other"
"meshr","Other"
"MesKit","Other"
"messina","Genomics"
"metabCombiner","Metabolomics"
"metabinR","Microbiome"
"MetaboAnnotation","Metabolomics"
"MetaboCoreUtils","Metabolomics"
"MetaboDynamics","Metabolomics"
"metabolomicsWorkbenchR","Metabolomics"
"metabomxtr","Immunology"
"MetaboSignal","Genomics"
"metaCCA","Genomics"
"MetaCyto","Cytometrics"
"MetaDICT","Microbiome"
"metagene2","Microarray"
"metagenomeSeq","Microbiome"
"metahdep","Microarray"
"metaMS","Immunology"
"MetaNeighbor","Single-cell"
"MetaPhOR","Microarray"
"metapod","Other"
"metapone","Metabolomics"
"metaSeq","Immunology"
"metaseqR2","Microarray"
"MetCirc","Metabolomics"
"methimpute","Immunology"
"methInheritSim","Immunology"
"methodical","Microarray"
"MethPed","Immunology"
"MethReg","Microarray"
"methrix","Genomics"
"MethTargetedNGS","Genomics"
"MethylAid","Microarray"
"methylCC","Microarray"
"methylclock","Genomics"
"methylGSA","Genomics"
"methyLImp2","Microarray"
"methylInheritance","Immunology"
"methylKit","Genomics"
"MethylMix","Microarray"
"methylMnM","Genomics"
"methylPipe","Genomics"
"methylscaper","Single-cell"
"MethylSeekR","Genomics"
"methylSig","Genomics"
"methylumi","Microarray"
"MetID","Other"
"MetMashR","Metabolomics"
"MetNet","Immunology"
"Mfuzz","Microarray"
"MGFM","Microarray"
"MGFR","Immunology"
"MGnifyR","Microbiome"
"mgsa","Genomics"
"mia","Microbiome"
"miaDash","Microbiome"
"miaSim","Microbiome"
"miaTime","Microbiome"
"miaViz","Microbiome"
"MiChip","Microarray"
"microbiome","Microbiome"
"microbiomeDASim","Microbiome"
"microbiomeExplorer","Microbiome"
"MicrobiomeProfiler","Microbiome"
"MicrobiotaProcess","Microbiome"
"microRNA","Genomics"
"MICSQTL","Single-cell"
"midasHLA","Genomics"
"miloR","Single-cell"
"mimager","Microarray"
"mina","Other"
"MineICA","Other"
"minet","Microarray"
"minfi","Microarray"
"MinimumDistance","Microarray"
"MiPP","Microarray"
"miQC","Single-cell"
"MIRA","Microarray"
"MiRaGE","Microarray"
"miRBaseConverter","Transcriptomics"
"miRcomp","Other"
"mirIntegrator","Microarray"
"MIRit","Genomics"
"miRLAB","Transcriptomics"
"miRNAmeConverter","Transcriptomics"
"miRNApath","Transcriptomics"
"miRNAtap","Microarray"
"miRSM","Microarray"
"miRspongeR","Single-cell"
"mirTarRnaSeq","Transcriptomics"
"missMethyl","Microarray"
"missRows","Other"
"mist","Single-cell"
"mistyR","Single-cell"
"mitch","Single-cell"
"mitoClone2","Single-cell"
"mitology","Single-cell"
"mixOmics","Microbiome"
"MLInterfaces","Other"
"MLP","Genomics"
"MLSeq","Immunology"
"MMDiff2","Microarray"
"MMUPHin","Microbiome"
"mnem","Single-cell"
"moanin","Microarray"
"mobileRNA","Transcriptomics"
"MODA","Microarray"
"ModCon","Transcriptomics"
"Modstrings","Other"
"MOFA2","Other"
"MOGAMUN","Transcriptomics"
"mogsa","Genomics"
"MoleculeExperiment","Transcriptomics"
"MOMA","Transcriptomics"
"monaLisa","Genomics"
"monocle","Immunology"
"Moonlight2R","Microarray"
"MoonlightR","Microarray"
"mosaics","Microarray"
"mosbi","Other"
"MOSClip","Other"
"mosdef","Transcriptomics"
"MOSim","Transcriptomics"
"Motif2Site","Microarray"
"motifbreakR","Microarray"
"motifcounter","Other"
"MotifDb","Other"
"motifmatchr","Other"
"MotifPeeker","Microarray"
"motifStack","Microarray"
"motifTestR","Microarray"
"MouseFM","Genomics"
"MPAC","Immunology"
"MPFE","Genomics"
"mpra","Genomics"
"MPRAnalyze","Immunology"
"msa","Other"
"MSA2dist","Genomics"
"MsBackendMassbank","Metabolomics"
"MsBackendMetaboLights","Metabolomics"
"MsBackendMgf","Metabolomics"
"MsBackendMsp","Metabolomics"
"MsBackendRawFileReader","Metabolomics"
"MsBackendSql","Metabolomics"
"MsCoreUtils","Metabolomics"
"MsDataHub","Metabolomics"
"MsExperiment","Metabolomics"
"MsFeatures","Metabolomics"
"msgbsR","Immunology"
"msImpute","Metabolomics"
"mslp","Genomics"
"msmsEDA","Immunology"
"msmsTests","Immunology"
"MSnbase","Immunology"
"MSnID","Immunology"
"mspms","Metabolomics"
"MSPrep","Metabolomics"
"msPurity","Metabolomics"
"msqrob2","Immunology"
"MsQuality","Metabolomics"
"MSstats","Immunology"
"MSstatsBig","Metabolomics"
"MSstatsBioNet","Immunology"
"MSstatsConvert","Metabolomics"
"MSstatsLiP","Microarray"
"MSstatsLOBD","Microarray"
"MSstatsPTM","Microarray"
"MSstatsQC","Metabolomics"
"MSstatsQCgui","Metabolomics"
"MSstatsResponse","Metabolomics"
"MSstatsShiny","Microarray"
"MSstatsTMT","Immunology"
"MuData","Other"
"Mulcom","Microarray"
"MultiAssayExperiment","Other"
"MultiBaC","Genomics"
"multiClust","Genomics"
"multicrispr","Other"
"MultiDataSet","Other"
"multiGSEA","Genomics"
"multiHiCcompare","Other"
"MultiMed","Other"
"multiMiR","Transcriptomics"
"MultimodalExperiment","Single-cell"
"MultiRNAflow","Transcriptomics"
"multiscan","Microarray"
"multistateQTL","Genomics"
"multiWGCNA","Transcriptomics"
"multtest","Microarray"
"mumosa","Single-cell"
"MungeSumstats","Genomics"
"muscat","Single-cell"
"muscle","Genomics"
"musicatk","Other"
"MutationalPatterns","Genomics"
"mutscan","Genomics"
"MVCClass","Other"
"MWASTools","Metabolomics"
"mygene","Other"
"myvariant","Genomics"
"mzID","Immunology"
"mzR","Immunology"
"NADfinder","Genomics"
"NanoMethViz","Genomics"
"NanoStringDiff","Other"
"NanoStringNCTools","Microarray"
"NanoTube","Genomics"
"NBAMSeq","Transcriptomics"
"ncdfFlow","Cytometrics"
"ncGTW","Metabolomics"
"NCIgraph","Other"
"ncRNAtools","Genomics"
"ndexr","Other"
"nearBynding","Other"
"Nebulosa","Single-cell"
"nempi","Single-cell"
"NetActivity","Microarray"
"netboost","Transcriptomics"
"nethet","Other"
"NetPathMiner","Other"
"netprioR","Immunology"
"netresponse","Microarray"
"NetSAM","Other"
"netSmooth","Single-cell"
"netZooR","Microarray"
"NewWave","Single-cell"
"ngsReports","Other"
"nipalsMCIA","Single-cell"
"nnNorm","Microarray"
"nnSVG","Single-cell"
"NOISeq","Immunology"
"nondetects","Genomics"
"NoRCE","Genomics"
"normalize450K","Microarray"
"NormalyzerDE","Metabolomics"
"NormqPCR","Genomics"
"normr","Microarray"
"notame","Metabolomics"
"notameStats","Metabolomics"
"notameViz","Metabolomics"
"NPARC","Proteomics"
"npGSEA","Microarray"
"NTW","Other"
"nucleoSim","Genomics"
"nucleR","Microarray"
"nuCpos","Genomics"
"nullranges","Microarray"
"NuPoP","Genomics"
"occugene","Other"
"OCplus","Microarray"
"octad","Genomics"
"odseq","Other"
"OGRE","Microbiome"
"oligo","Microarray"
"oligoClasses","Other"
"OLIN","Microarray"
"OLINgui","Microarray"
"omada","Transcriptomics"
"OmaDB","Genomics"
"omicade4","Other"
"OmicCircos","Other"
"omicplotR","Microbiome"
"omicRexposome","Immunology"
"omicsGMF","Single-cell"
"OmicsMLRepoR","Other"
"OMICsPCA","Single-cell"
"omicsPrint","Immunology"
"omicsViewer","Genomics"
"Omixer","Other"
"OmnipathR","Single-cell"
"ompBAM","Single-cell"
"omXplore","Metabolomics"
"oncomix","Genomics"
"oncoscanR","Microarray"
"OncoScore","Other"
"OncoSimulR","Other"
"onlineFDR","Other"
"ontoProc","Other"
"openCyto","Cytometrics"
"openPrimeR","Other"
"OpenStats","Other"
"oposSOM","Genomics"
"oppar","Genomics"
"optimalFlow","Cytometrics"
"OPWeight","Immunology"
"OrderedList","Microarray"
"ORFhunteR","Transcriptomics"
"ORFik","Immunology"
"Organism.dplyr","Genomics"
"OrganismDbi","Other"
"orthogene","Transcriptomics"
"orthos","Transcriptomics"
"OSAT","Other"
"Oscope","Immunology"
"OSTA.data","Single-cell"
"OTUbase","Other"
"OUTRIDER","Immunology"
"OutSplice","Transcriptomics"
"OVESEG","Genomics"
"PAA","Microarray"
"packFinder","Genomics"
"padma","Transcriptomics"
"PADOG","Microarray"
"pageRank","Genomics"
"PAIRADISE","Immunology"
"paircompviz","Other"
"pairedGSEA","Immunology"
"pairkat","Metabolomics"
"pandaR","Microarray"
"panelcn.mops","Genomics"
"PanomiR","Transcriptomics"
"panp","Other"
"PANR","Immunology"
"parglms","Other"
"parody","Other"
"partCNV","Single-cell"
"PAST","Genomics"
"Path2PPI","Proteomics"
"pathifier","Other"
"pathlinkR","Transcriptomics"
"pathMED","Transcriptomics"
"PathNet","Other"
"PathoStat","Microbiome"
"pathRender","Other"
"pathview","Microarray"
"pathwayPCA","Transcriptomics"
"pcaExplorer","Immunology"
"pcaMethods","Other"
"PCAN","Genomics"
"PCAtools","Single-cell"
"PDATK","Genomics"
"pdInfoBuilder","Other"
"PeacoQC","Cytometrics"
"peakCombiner","Microarray"
"peakPantheR","Metabolomics"
"PECA","Microarray"
"peco","Single-cell"
"Pedixplorer","Genomics"
"pengls","Transcriptomics"
"PepSetTest","Metabolomics"
"PepsNMR","Metabolomics"
"pepStat","Microarray"
"pepXMLTab","Immunology"
"periodicDNA","Other"
"pfamAnalyzeR","Transcriptomics"
"pgca","Immunology"
"pgxRpi","Genomics"
"phantasus","Microarray"
"phantasusLite","Transcriptomics"
"PharmacoGx","Genomics"
"PhenoGeneRanker","Genomics"
"phenomis","Transcriptomics"
"phenopath","Single-cell"
"phenoTest","Microarray"
"philr","Microbiome"
"PhIPData","Other"
"phosphonormalizer","Proteomics"
"PhosR","Proteomics"
"PhyloProfile","Other"
"phyloseq","Microbiome"
"piano","Microarray"
"PICB","Transcriptomics"
"pickgene","Microarray"
"Pigengene","Microarray"
"pipeComp","Transcriptomics"
"pipeFrame","Other"
"PIPETS","Transcriptomics"
"Pirat","Metabolomics"
"PIUMA","Other"
"planet","Microarray"
"planttfhunter","Genomics"
"plasmut","Other"
"plgem","Microarray"
"plier","Other"
"plotgardener","Genomics"
"plotGrouper","Cytometrics"
"PLPE","Microarray"
"PLSDAbatch","Microbiome"
"plyinteractions","Other"
"plyranges","Other"
"plyxp","Transcriptomics"
"pmm","Other"
"pmp","Metabolomics"
"PMScanR","Other"
"PoDCall","Genomics"
"podkat","Genomics"
"poem","Single-cell"
"pogos","Immunology"
"PolySTest","Metabolomics"
"Polytect","Microarray"
"POMA","Transcriptomics"
"powerTCR","Other"
"POWSC","Single-cell"
"ppcseq","Transcriptomics"
"PPInfer","Genomics"
"pqsfinder","Genomics"
"pram","Transcriptomics"
"prebs","Microarray"
"preciseTAD","Genomics"
"PREDA","Genomics"
"preprocessCore","Other"
"primirTSS","Immunology"
"PrInCE","Proteomics"
"proActiv","Transcriptomics"
"proBAMr","Immunology"
"PROcess","Immunology"
"procoil","Proteomics"
"proDA","Metabolomics"
"profileScoreDist","Genomics"
"progeny","Genomics"
"projectR","Genomics"
"pRoloc","Immunology"
"pRolocGUI","Proteomics"
"PROMISE","Microarray"
"PRONE","Proteomics"
"PROPER","Immunology"
"PROPS","Genomics"
"Prostar","Metabolomics"
"proteinProfiles","Other"
"ProteoDisco","Transcriptomics"
"ProteoMM","Immunology"
"protGear","Microarray"
"ProtGenerics","Metabolomics"
"psichomics","Immunology"
"PSMatch","Metabolomics"
"ptairMS","Metabolomics"
"puma","Microarray"
"PureCN","Immunology"
"pvac","Microarray"
"pvca","Microarray"
"Pviz","Microarray"
"pwalign","Genomics"
"PWMEnrich","Other"
"qcmetrics","Microarray"
"QDNAseq","Genomics"
"QFeatures","Metabolomics"
"qmtools","Metabolomics"
"qpcrNorm","Genomics"
"qpgraph","Microarray"
"qPLEXanalyzer","Immunology"
"QRscore","Genomics"
"qsea","Microarray"
"qsmooth","Microarray"
"QSutils","Genomics"
"qsvaR","Other"
"QTLExperiment","Genomics"
"Qtlizer","Genomics"
"quantiseqr","Microarray"
"quantro","Microarray"
"quantsmooth","Other"
"QuasR","Microarray"
"QuaternaryProd","Genomics"
"QUBIC","Microarray"
"qusage","Microarray"
"qvalue","Other"
"R3CPET","Genomics"
"r3Cseq","Other"
"R4RNA","Other"
"RadioGx","Genomics"
"raer","Single-cell"
"RaggedExperiment","Other"
"RAIDS","Genomics"
"rain","Microarray"
"ramr","Microarray"
"ramwas","Genomics"
"randPack","Other"
"randRotation","Microarray"
"RankProd","Microarray"
"RAREsim","Genomics"
"RareVariantVis","Genomics"
"Rarr","Other"
"rawDiag","Metabolomics"
"rawrr","Metabolomics"
"RbcBook1","Other"
"Rbec","Microbiome"
"RBGL","Other"
"RBioFormats","Other"
"rBiopaxParser","Other"
"rBLAST","Genomics"
"RBM","Microarray"
"Rbowtie","Other"
"Rbowtie2","Other"
"RbowtieCuda","Other"
"rbsurv","Microarray"
"Rbwa","Other"
"RCAS","Transcriptomics"
"RCASPAR","Proteomics"
"rcellminer","Transcriptomics"
"rCGH","Other"
"RcisTarget","Transcriptomics"
"RCM","Microbiome"
"Rcollectl","Other"
"Rcpi","Proteomics"
"RCSL","Single-cell"
"Rcwl","Immunology"
"RcwlPipelines","Immunology"
"RCX","Other"
"RCy3","Other"
"RCyjs","Other"
"Rdisop","Immunology"
"RDRToolbox","Microarray"
"ReactomeGSA","Transcriptomics"
"ReactomePA","Genomics"
"ReadqPCR","Genomics"
"REBET","Other"
"rebook","Other"
"reconsi","Microbiome"
"recount","Immunology"
"recount3","Transcriptomics"
"recountmethylation","Microarray"
"recoup","Microarray"
"RedeR","Other"
"RedisParam","Other"
"REDseq","Other"
"ReducedExperiment","Genomics"
"RegEnrich","Microarray"
"regionalpcs","Microarray"
"RegionalST","Transcriptomics"
"regioneR","Microarray"
"regioneReloaded","Microarray"
"regionReport","Immunology"
"regsplice","Microarray"
"regutools","Genomics"
"REMP","Microarray"
"ReportingTools","Microarray"
"RepViz","Microarray"
"ResidualMatrix","Other"
"RESOLVE","Other"
"retrofit","Single-cell"
"ReUseData","Immunology"
"rexposome","Other"
"rfaRm","Genomics"
"Rfastp","Other"
"RFLOMICS","Transcriptomics"
"rfPred","Other"
"rGenomeTracks","Other"
"RgnTX","Transcriptomics"
"rgoslin","Metabolomics"
"RGraph2js","Other"
"Rgraphviz","Other"
"rGREAT","Genomics"
"RGSEA","Genomics"
"rgsepd","Immunology"
"rhdf5","Other"
"rhdf5client","Other"
"rhdf5filters","Other"
"Rhdf5lib","Other"
"rhinotypeR","Genomics"
"Rhisat2","Other"
"Rhtslib","Other"
"RiboCrypt","Transcriptomics"
"RiboDiPA","Immunology"
"RiboProfiling","Other"
"ribor","Other"
"riboSeqR","Genomics"
"ribosomeProfilingQC","Genomics"
"rifi","Microarray"
"rifiComparative","Microarray"
"Rigraphlib","Other"
"rigvf","Genomics"
"RImmPort","Other"
"RITAN","Genomics"
"RIVER","Transcriptomics"
"RJMCMCNucleosomes","Microarray"
"RLassoCox","Genomics"
"RLMM","Microarray"
"Rmagpie","Microarray"
"RMassBank","Immunology"
"rmelting","Other"
"Rmmquant","Genomics"
"rmspc","Microarray"
"RNAAgeCalc","Transcriptomics"
"RNAdecay","Immunology"
"rnaEditr","Transcriptomics"
"RNAmodR","Other"
"RNAmodR.AlkAnilineSeq","Other"
"RNAmodR.ML","Other"
"RNAmodR.RiboMethSeq","Other"
"RNAsense","Transcriptomics"
"rnaseqcomp","Transcriptomics"
"RNAseqCovarImpute","Transcriptomics"
"RNASeqPower","Immunology"
"RnaSeqSampleSize","Immunology"
"RnBeads","Microarray"
"Rnits","Microarray"
"roar","Transcriptomics"
"roastgsa","Microarray"
"ROC","Other"
"ROCpAI","Other"
"RolDE","Proteomics"
"rols","Immunology"
"ROntoTools","Microarray"
"ropls","Immunology"
"ROSeq","Single-cell"
"ROTS","Microarray"
"RPA","Microarray"
"rprimer","Other"
"RProtoBufLib","Other"
"rpx","Immunology"
"Rqc","Other"
"rqt","Genomics"
"rqubic","Other"
"rRDP","Microbiome"
"RRHO","Microarray"
"rrvgo","Other"
"Rsamtools","Other"
"rsbml","Other"
"rScudo","Transcriptomics"
"rsemmed","Other"
"RSeqAn","Other"
"Rsubread","Single-cell"
"RSVSim","Other"
"rSWeeP","Other"
"RTCA","Immunology"
"RTCGA","Immunology"
"RTCGAToolbox","Genomics"
"RTN","Genomics"
"RTNduals","Genomics"
"RTNsurvival","Genomics"
"RTopper","Microarray"
"Rtpca","Proteomics"
"rtracklayer","Other"
"rTRM","Genomics"
"rTRMui","Genomics"
"RUCova","Single-cell"
"runibic","Microarray"
"RUVcorr","Genomics"
"RUVnormalize","Other"
"RUVSeq","Immunology"
"Rvisdiff","Transcriptomics"
"RVS","Immunology"
"rWikiPathways","Metabolomics"
"S4Arrays","Other"
"S4Vectors","Other"
"safe","Genomics"
"sagenhaft","Other"
"SAIGEgds","Genomics"
"sampleClassifier","Microarray"
"SamSPECTRAL","Cytometrics"
"sangeranalyseR","Genomics"
"sangerseqR","Other"
"SanityR","Single-cell"
"SANTA","Other"
"sarks","Transcriptomics"
"saseR","Transcriptomics"
"satuRn","Single-cell"
"SBGNview","Microarray"
"SBMLR","Other"
"SC3","Single-cell"
"scafari","Single-cell"
"Scale4C","Other"
"ScaledMatrix","Other"
"SCAN.UPC","Microarray"
"scanMiR","Transcriptomics"
"scanMiRApp","Transcriptomics"
"scAnnotatR","Single-cell"
"SCANVIS","Transcriptomics"
"SCArray","Single-cell"
"SCArray.sat","Single-cell"
"scater","Single-cell"
"scatterHatch","Single-cell"
"scBFA","Single-cell"
"SCBN","Genomics"
"scBubbletree","Single-cell"
"scCB2","Single-cell"
"scClassify","Single-cell"
"sccomp","Microbiome"
"scDataviz","Single-cell"
"scDblFinder","Single-cell"
"scDD","Single-cell"
"scDDboost","Single-cell"
"scde","Immunology"
"scDesign3","Single-cell"
"scDiagnostics","Single-cell"
"scDotPlot","Single-cell"
"scds","Single-cell"
"SCFA","Other"
"scFeatureFilter","Single-cell"
"scFeatures","Single-cell"
"scGPS","Single-cell"
"scGraphVerse","Single-cell"
"schex","Single-cell"
"scHiCcompare","Single-cell"
"scHOT","Single-cell"
"scider","Transcriptomics"
"scifer","Single-cell"
"scLANE","Single-cell"
"scmap","Single-cell"
"scMerge","Single-cell"
"scMET","Single-cell"
"scmeth","Single-cell"
"scMitoMut","Single-cell"
"scMultiSim","Single-cell"
"SCnorm","Single-cell"
"scone","Single-cell"
"Sconify","Single-cell"
"SCOPE","Single-cell"
"scoreInvHap","Genomics"
"scoup","Genomics"
"scp","Single-cell"
"scPCA","Microarray"
"scPipe","Single-cell"
"scQTLtools","Single-cell"
"scran","Single-cell"
"scrapper","Single-cell"
"scReClassify","Single-cell"
"scRecover","Single-cell"
"screenCounter","Genomics"
"ScreenR","Genomics"
"scRepertoire","Single-cell"
"scRNAseqApp","Single-cell"
"scruff","Single-cell"
"scry","Single-cell"
"scShapes","Single-cell"
"scTensor","Single-cell"
"scTGIF","Single-cell"
"scTHI","Single-cell"
"scTreeViz","Single-cell"
"scuttle","Single-cell"
"scviR","Single-cell"
"SDAMS","Single-cell"
"seahtrue","Metabolomics"
"sechm","Genomics"
"segmenter","Other"
"segmentSeq","Other"
"selectKSigs","Other"
"SELEX","Genomics"
"SemDist","Other"
"semisup","Microarray"
"seq.hotSPOT","Genomics"
"seq2pathway","Other"
"SeqArray","Genomics"
"seqCAT","Genomics"
"seqcombo","Other"
"SeqGate","Transcriptomics"
"SeqGSEA","Immunology"
"Seqinfo","Genomics"
"seqLogo","Other"
"seqPattern","Other"
"seqsetvis","Microarray"
"SeqSQC","Genomics"
"SeqVarTools","Genomics"
"SEraster","Single-cell"
"sesame","Microarray"
"SETA","Single-cell"
"SEtools","Genomics"
"sevenbridges","Other"
"sevenC","Microarray"
"SGSeq","Immunology"
"SharedObject","Other"
"shinybiocloader","Other"
"shinyDSP","Transcriptomics"
"shinyepico","Microarray"
"shinyMethyl","Microarray"
"ShortRead","Other"
"SIAMCAT","Microbiome"
"SICtools","Other"
"SigCheck","Genomics"
"sigFeature","Microarray"
"siggenes","Microarray"
"sights","Immunology"
"signatureSearch","Genomics"
"signeR","Genomics"
"signifinder","Single-cell"
"SigsPack","Genomics"
"sigsquared","Other"
"SIM","Microarray"
"SIMAT","Immunology"
"SimBu","Single-cell"
"SIMD","Single-cell"
"SimFFPE","Other"
"similaRpeak","Microarray"
"SIMLR","Single-cell"
"simona","Other"
"simPIC","Single-cell"
"simpleSeg","Single-cell"
"simplifyEnrichment","Genomics"
"sincell","Immunology"
"SingleCellAlleleExperiment","Single-cell"
"SingleCellExperiment","Single-cell"
"SingleCellSignalR","Single-cell"
"singleCellTK","Single-cell"
"SingleMoleculeFootprinting","Genomics"
"SingleR","Single-cell"
"singscore","Genomics"
"SiPSiC","Single-cell"
"sitadela","Microarray"
"Site2Target","Microarray"
"sitePath","Genomics"
"sizepower","Microarray"
"sketchR","Single-cell"
"skewr","Microarray"
"slalom","Single-cell"
"slingshot","Single-cell"
"SLqPCR","Other"
"SMAD","Metabolomics"
"smartid","Transcriptomics"
"SmartPhos","Metabolomics"
"SMITE","Immunology"
"smoothclust","Single-cell"
"smoppix","Single-cell"
"SNAGEE","Microarray"
"snapcount","Transcriptomics"
"snifter","Single-cell"
"snm","Microarray"
"SNPediaR","Other"
"SNPhood","Other"
"SNPRelate","Genomics"
"snpStats","Microarray"
"SomaticSignatures","Genomics"
"SOMNiBUS","Genomics"
"sosta","Transcriptomics"
"SpaceMarkers","Single-cell"
"SpaceTrooper","Single-cell"
"spacexr","Single-cell"
"Spaniel","Single-cell"
"SpaNorm","Transcriptomics"
"spARI","Transcriptomics"
"sparrow","Genomics"
"SparseArray","Other"
"sparseMatrixStats","Other"
"sparsenetgls","Immunology"
"SparseSignatures","Other"
"spaSim","Other"
"SpatialCPie","Transcriptomics"
"spatialDE","Transcriptomics"
"SpatialDecon","Immunology"
"SpatialExperiment","Single-cell"
"SpatialExperimentIO","Single-cell"
"spatialFDA","Transcriptomics"
"SpatialFeatureExperiment","Transcriptomics"
"spatialHeatmap","Single-cell"
"SpatialOmicsOverlay","Microarray"
"spatialSimGP","Transcriptomics"
"speckle","Single-cell"
"specL","Metabolomics"
"SpeCond","Microarray"
"Spectra","Metabolomics"
"SpectralTAD","Other"
"SpectraQL","Metabolomics"
"SpectriPy","Metabolomics"
"SPEM","Other"
"SPIA","Microarray"
"SPIAT","Single-cell"
"SPICEY","Single-cell"
"spicyR","Single-cell"
"spikeLI","Microarray"
"spiky","Genomics"
"spillR","Single-cell"
"spkTools","Microarray"
"splatter","Single-cell"
"SpliceWiz","Transcriptomics"
"SplicingFactory","Transcriptomics"
"SplicingGraphs","Immunology"
"SplineDV","Single-cell"
"splineTimeR","Genomics"
"SPLINTER","Immunology"
"splots","Other"
"SPONGE","Transcriptomics"
"spoon","Single-cell"
"SpotClean","Single-cell"
"SPOTlight","Single-cell"
"SpotSweeper","Transcriptomics"
"spqn","Other"
"SPsimSeq","Single-cell"
"squallms","Metabolomics"
"sRACIPE","Genomics"
"SRAdb","Other"
"srnadiff","Immunology"
"sscu","Genomics"
"sSeq","Immunology"
"ssize","Microarray"
"sSNAPPY","Genomics"
"ssPATHS","Transcriptomics"
"ssrch","Other"
"ssviz","Immunology"
"StabMap","Single-cell"
"STADyUM","Transcriptomics"
"stageR","Other"
"standR","Transcriptomics"
"STATegRa","Other"
"Statial","Single-cell"
"statTarget","Immunology"
"stepNorm","Microarray"
"stJoincount","Transcriptomics"
"stPipe","Single-cell"
"strandCheckR","Immunology"
"Streamer","Other"
"STRINGdb","Other"
"struct","Other"
"Structstrings","Other"
"structToolbox","Metabolomics"
"StructuralVariantAnnotation","Genomics"
"SubCellBarCode","Metabolomics"
"subSeq","Immunology"
"SUITOR","Genomics"
"SummarizedExperiment","Genomics"
"Summix","Genomics"
"SuperCellCyto","Single-cell"
"supersigs","Genomics"
"surfaltr","Other"
"SurfR","Transcriptomics"
"survClust","Other"
"survcomp","Genomics"
